Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59
2,,,3912748,"Italia carta stradale edizione Shell fuori commercio, 1964",Italia carta stradale edizione Shell fuori commercio,eng fre ger ita,,1964,,,,,,,,,,,,,,,,236,,#1,,,,,,Italia carta stradale,,,Shell ; Istituto Geografico de Agostini,,,,,,ita,,,,,,,,,,,,,,,,,
2,,,3912888,"Jan Jan's map of Kowloon 版珍珍圖全龍九文英中, 1960",Jan Jan's map of Kowloon 版珍珍圖全龍九文英中,Eng chi,,1960,,,,,,,,,,,,,,,,161,,#1,,,,,,Jan Jan's map of Kowloon with index,,,Drawn by Chan King Hon ; revised by Wong Chok Sun,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912954,"Johannesburg, 1981",Johannesburg,Eng dut,,1981,,,,,,,,,,,,,,,,161,,#1,,,,,,Johannesburg Central-Sentraal,,,Map Studio,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912328,"Kaart van Nederland = Map of the Netherlands = Carte des pays-Bas, [between 1940 and 1949?]",Kaart van Nederland = Map of the Netherlands = Carte des pays-Bas,dut eng fre,[between 1940 and 1949?],,,,,,,,,,,,,,,,,158,,#1,,,,,,Kaart van Nederland ,,,Netherlands National Tourist Office,,,,,,dut,,,,,,,,,,,,,,,,,
2,,,3912329,"Kaart van Nederland = Map of the Netherlands = Carte des pays-Bas, [between 1960 and 1969?]",Kaart van Nederland = Map of the Netherlands = Carte des pays-Bas,dut eng fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,158,,#1,,,,,,Kaart van Nederland,,,Netherlands National Tourist Office,,,,,,dut,,,,,,,,,,,,,,,,,
2,,,3912437,"Karta över Jönköping Huskvarna = Map of Jönköping Huskvarna = Plan de Jönköping Huskvarna = Plan von Jönköping Huskvarna, [between 1980 and 1989?]",Karta över Jönköping Huskvarna = Map of Jönköping Huskvarna = Plan de Jönköping Huskvarna = Plan von Jönköping Huskvarna,Swe eng ger,[between 1980 and 1989?],,,,,,,,,,,,,,,,,159,,#1,,,,,,,,,Tryckeri AB Småland,,,,,,swe,,,,,,,,,,,,,,,,,
2,,,3912867,"Kerkyra (Corfou), 1970",Kerkyra (Corfou),Gre eng ger fre,,1970,,,,,,,,,,,,,,,,237,,#1,,,,,,Kerkyra Corfou ,,,Alma Publications ; Αλεξανδροσ Ματσουκησ [Alexandros Matsoukis],,,,,,gre,,,,,,,,,,,,,,,,,
2,,,3912868,"Kriti, 1971",Kriti,Gre eng fre ger,,1971,,,,,,,,,,,,,,,,237,,#1,,,,,,Tourist map Kriti,,,Chr. Mathioulakis Publication,,,,,,gre,,,,,,,,,,,,,,,,,
2,,,3923660,"Kuba = Cuba, 1994",Kuba = Cuba,eng fre ger ita,,1994,,,,,,,,,,,,,,,,229,,#1,,,,,,Kuba = Cuba,,,Freytag-Berndt u. Artaria,,,,,,ger,,,,,,,,,,,,,,,,,
2,,,3912979,"L'Anse aux Meadows National Historic Park = Parc historique national de L'Anse-aux-Meadows, 1988",L'Anse aux Meadows National Historic Park = Parc historique national de L'Anse-aux-Meadows,eng fre,,1988,,,,,,,,,,,,,,,,162,,#1,,,,,,L'Anse aux Meadows national historic park Newfoundland = L'anse-aux-Meadows parc historique national Terre-Neuve,,,Canada. Minister of Supply and Services Canada,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913206,"Le centre de Montréal = the heart of Montréal, 1960",Le centre de Montréal = the heart of Montréal,eng fre,,1960,,,,,,,,,,,,,,,,163,,#1,,,,,,Montréal carte touristique = Montréal tourist map,,,Economic and Tourist Developmental Bureau of the City of Montreal,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913208,"Le centre de Montréal = the heart of Montréal, [between 1960 and 1969?]",Le centre de Montréal = the heart of Montréal,eng fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,163,,#1,,,,,,Carte touristique Montréal = Montréal tourist map,,,Economic Developmental Bureau of the City of Montreal,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913240,"Lignes d'autobus de la Commission de Transport de Montréal = Montréal Transportation Commission bus routes, 1960",Lignes d'autobus de la Commission de Transport de Montréal = Montréal Transportation Commission bus routes,eng fre,,1960,,,,,,,,,,,,,,,,226,,#1,,,,,,Carte des lignes = Route Map,,,Montreal Transportation Commission,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3912334,"Limburg, [between 1960 and 1969?]",Limburg,dut fre eng ger,[between 1960 and 1969?],,,,,,,,,,,,,,,,,158,,#1,,,,,,VVV Provinciekaart Limburg,,,N.V. Illustra,,,,,,dut,,,,,,,,,,,,,,,,,
2,,,3912734,"Lisboa : planta = Lisboa : plan = Lisboa : map, [between 1970 and 1979?]",Lisboa : planta = Lisboa : plan = Lisboa : map,Eng ger spa fre,[between 1970 and 1979?],,,,,,,,,,,,,,,,,236,,#1,,,,,,Lisboa : planta = Lisboa : plan = Lisboa : town map = Lisboa : Stadtplan,,,Hallwag,,,,,,ita,,,,,,,,,,,,,,,,,
2,,,3912855,"Ljubljana, 1972",Ljubljana,Slv fre ita eng tur,,1972,,,,,,,,,,,,,,,,161,,#1,,,,,,,,,Turistični Informacijski Biro,,,,,,slv,,,,,,,,,,,,,,,,,
2,,,3912088,"London, [between 1970 and 1979]",London,Eng fre ger,[between 1970 and 1979],,,,,,,,,,,,,,,,,156,,#1,,,,,,London map,,,Geographia Ltd.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912089,"London, [between 1970 and 1979]",London,Eng fre ger,[between 1970 and 1979],,,,,,,,,,,,,,,,,156,,#1,,,,,,London map,,,Geographia Ltd.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913207,"Lovell's map of Montreal and vicinity, [between 1960 and 1969?]",Lovell's map of Montreal and vicinity,eng fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,226,,#1,,,,,,Map of Montreal = Carte de Montréal,,,"John Lovell & Son, Limited",,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913239,"Lovell's map of Montreal and vicinity, [between 1960 and 1969?]",Lovell's map of Montreal and vicinity,eng fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,226,,#1,,,,,,Map of Montreal = Carte de Montréal,,,"John Lovell & Son, Limited",,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913293,"Lovell's map of St. Lambert and Longueuil including Greenfield Park Mackayville Jacques Cartier Montreal South Lemoyne Preville, [between 1950 and 1959?]",Lovell's map of St. Lambert and Longueuil including Greenfield Park Mackayville Jacques Cartier Montreal South Lemoyne Preville,eng fre,[between 1950 and 1959?],,,,,,,,,,,,,,,,,164,,#1,,,,,,St. Lambert and Longueuil Lovell's arrow map and street index,,,"John Lovell & Son, Limited",,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912605,"Lucerne Suisse = Lucerne Schweiz = Lucerne Switzerland, 1958",Lucerne Suisse = Lucerne Schweiz = Lucerne Switzerland,Ger fre eng,,1958,,,,,,,,,,,,,,,,160,,#1,,,,,,,,,[publisher not identified],,,,,,ger,,,,,,,,,,,,,,,,,
2,,,3912606,"Luzern, 1974",Luzern,Ger eng,,1974,,,,,,,,,,,,,,,,160,,#1,,,,,,Plan der Stadt Luzern = Map of Lucerne,,,Kümmerly + Frey,,,,,,ger,,,,,,,,,,,,,,,,,
2,,,3912714,"Madrid : visita de la ciudad = Madrid : visite de la ville = Madrid : city sightseeing, 1962",Madrid : visita de la ciudad = Madrid : visite de la ville = Madrid : city sightseeing,Spa fre eng,,1962,,,,,,,,,,,,,,,,160,,#1,,,,,,,,,A.L.G.,,,,,,spa,,,,,,,,,,,,,,,,,
2,,,3912715,"Madrid : visita de la ciudad = Madrid : visite de la ville = Madrid : city sightseeing, 1962",Madrid : visita de la ciudad = Madrid : visite de la ville = Madrid : city sightseeing,Spa fre eng,,1962,,,,,,,,,,,,,,,,160,,#1,,,,,,,,,A.L.G.,,,,,,spa,,,,,,,,,,,,,,,,,
2,,,3912340,"Map Amsterdam = Stadtplan Amsterdam = Plan de la ville Amsterdam, [between 1960 and 1969?]",Map Amsterdam = Stadtplan Amsterdam = Plan de la ville Amsterdam,eng ger fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,158,,#1,,,,,,,,,V.V.V. Amsterdam,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913192,"Map of greater Montreal Quebec, [between 1950 and 1959?]",Map of greater Montreal Quebec,eng fre,[between 1950 and 1959?],,,,,,,,,,,,,,,,,163,,#1,,,,,,Map of greater Montréal Québec = Carte de Montréal et la banlieue Québec,,,Map Corporation of America,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913202,"Map of greater Montreal Quebec, [1957?]",Map of greater Montreal Quebec,eng fre,[1957?],,,,,,,,,,,,,,,,,163,,#1,,,,,,Map and directory of information greater Montreal Quebec with indexed streets = Carte et le guide du renseignement Montreal Quebec avec un index des rues,,,Map Corporation of America,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913212,"Map of Greater Montreal Quebec, [between 1960 and 1969?]",Map of greater Montreal Quebec,eng fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,163,,#1,,,,,,Map and directory of information greater Montreal Quebec with indexed streets = Carte et le guide du renseignement Montreal Quebec avec un index des rues,,,Map Corporation of America,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913210,"Map of greater Montreal Quebec, [between 1960 and 1969?]",Map of Greater Montreal Quebec,eng fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,163,,#1,,,,,,Map of Greater Montréal Québec = Carte de Montréal et la banlieue Québec,,,Map Corporation of America,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912892,"Map of Japan = Carte du Japon = Mapa del Japón = Karte von Japan = Mapa do Japão, [between 1960 andf 1965?]",Map of Japan = Carte du Japon = Mapa del Japón = Karte von Japan = Mapa do Japão,Eng fre spa ger por,[between 1960 andf 1965?],,,,,,,,,,,,,,,,,161,,#1,,,,,,Map of Japan = Carte du Japon = Mapa del Japón = Karte von Japan = Mapa do Japão,,,Japan National Tourist Organization,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913183,"Map of the city of Montreal and suburbs, [between 1920 and 1929?]",Map of the city of Montreal and suburbs,eng fre,[between 1920 and 1929?],,,,,,,,,,,,,,,,,163,,#1,,,,,,MacFarlane's map of Montreal Que. and suburbs with street index,,,W.G. MacFarlane,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913181,"Map of the city of Montreal and suburbs, [between 1920 and 1929?]",Map of the city of Montreal and suburbs,eng fre,[between 1920 and 1929?],,,,,,,,,,,,,,,,,163,,#1,,,,,,MacFarlane's map of Montreal Que. and suburbs with street index,,,W.G. MacFarlane,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913182,"Map of the city of Montreal and suburbs, [between 1920 and 1929?]",Map of the city of Montreal and suburbs,eng fre,[between 1920 and 1929?],,,,,,,,,,,,,,,,,163,,#1,,,,,,Street map of Montreal with street index,,,American Autochrome Co.,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3912906,"Map of the Fuji-Hakone National Park, 1974",Map of the Fuji-Hakone National Park,Eng jpn,,1974,,,,,,,,,,,,,,,,161,,#1,,,,,,,,,[publisher not identified],,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912327,"Map of the Netherlands = Karte der Niederlande = Carte des pays-Bas, [between 1950 and 1959?]",Map of the Netherlands = Karte der Niederlande = Carte des pays-Bas,eng ger fre,[between 1950 and 1959?],,,,,,,,,,,,,,,,,232,,#1,,,,,,Map of the Netherlands,,,Official Tourist Information Office for the Netherlands,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3923639,"Mapa de la Republica Dominicana ; Carte de la republique d'Haiti, [between 1948 and 1950?]",Mapa de la Republica Dominicana ; Carte de la republique d'Haiti,spa fre,[between 1948 and 1950?],,,,,,,,,,,,,,,,,168,,#1,,,,,,Mapa de la Republica Dominicana,,,General Drafting Company,,,,,,spa,,,,,,,,,,,,,,,,,
2,,,3923646,"Mapa de la Republica Dominicana ; Carte de la republique d'Haiti, [between 1940 and 1949?]",Mapa de la Republica Dominicana ; Carte de la republique d'Haiti,spa fre,[between 1940 and 1949?],,,,,,,,,,,,,,,,,168,,#1,,,,,,Mapa de la Republica Dominicana,,,General Drafting Company,,,,,,spa,,,,,,,,,,,,,,,,,
2,,,3923754,"Mapa de La Republica Mexicana, 1960",Mapa de La Republica Mexicana,eng spa,,1960,,,,,,,,,,,,,,,,169,,#1,,,,,,Street map of Mexico City with street index = Mapa de la Cuidad de Mexico conindices de calles,,,Map Corporation of America,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913056,"Maritime Provinces ; Québec, 1966",Maritime Provinces ; Québec,eng fre,,1966,,,,,,,,,,,,,,,,162,,#1,,,,,,Quebec and Maritime Provinces,,,H.M. Gousha Co.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913059,"Maritime Provinces ; Quebec, 1967",Maritime Provinces ; Québec,eng fre,,1967,,,,,,,,,,,,,,,,162,,#1,,,,,,Quebec and Maritime Provinces,,,H.M. Gousha Co.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913058,"Maritime Provinces ; Québec, 1972",Maritime Provinces ; Québec,eng fre,,1972,,,,,,,,,,,,,,,,162,,#1,,,,,,Quebec and Maritime Provinces,,,H.M. Gousha Co.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913185,"Metropolitan map district of Montréal = Carte métropolitaine district de Montréal, [1938?]",Metropolitan map district of Montréal = Carte métropolitaine district de Montréal,eng fre,[1938?],,,,,,,,,,,,,,,,,163,,#1,,,,,,Shell road map metropolitan Montreal,,,H.M. Gousha Co.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913432,"Metropolitan map Ottawa and vicinity ; Carte metropolitaine ville de Québec, 1933",Metropolitan map Ottawa and vicinity ; Carte metropolitaine ville de Québec,eng fre,,1933,,,,,,,,,,,,,,,,165,,#1,,,,,,Shell metropolitan map Ottawa and Quebec,,,H.M. Gousha Company,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913199,"Metropolitan Montreal, 1955",Metropolitan Montreal,eng fre,,1955,,,,,,,,,,,,,,,,226,,#1,,,,,,Metropolitan Montreal and Quebec,,,Rolph-Clark-Stone Limited.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913435,"Metropolitan Ottawa and vicinity ; Carte métropolitain ville de Québec, [between 1940 and 1949?]",Metropolitan Ottawa and vicinity ; Carte métropolitain ville de Québec,eng fre,[between 1940 and 1949?],,,,,,,,,,,,,,,,,165,,#1,,,,,,Shell road map metropolitan Ottawa and Quebec,,,H.M. Gousha Company,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913436,"Metropolitan Ottawa and vicinity ; Carte métropolitain ville de Québec, 1946",Metropolitan Ottawa and vicinity ; Carte métropolitain ville de Québec,eng fre,,1946,,,,,,,,,,,,,,,,165,,#1,,,,,,Shell map of metropolitan Ottawa and Quebec,,,H.M. Gousha Company,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3923756,"Mexico City & vicinity, 1993",Mexico City & vicinity,eng fre ger spa,,1993,,,,,,,,,,,,,,,,169,,#1,,,,,,Cityflash visitors map Mexico City,,,Rand McNally and Company,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3923714,"Mexico mapa touristico de carreteras, 1966",Mexico mapa touristico de carreteras,eng spa,,1966,,,,,,,,,,,,,,,,168,,#1,,,,,,Mexico mapa touristico de carreteras,,,Mexico Secretaría de Obras Públicas,,,,,,spa,,,,,,,,,,,,,,,,,
2,,,3923735,"Mexico mapa touristico de carreteras, 1966",Mexico mapa touristico de carreteras,eng spa,,1966,,,,,,,,,,,,,,,,169,,#1,,,,,,Mexico mapa touristico de carreteras,,,Mexico. Secretaría de Obras Públicas,,,,,,spa,,,,,,,,,,,,,,,,,
2,,,3923741,"Mexico mapa touristico de carreteras, 1966",Mexico mapa touristico de carreteras,eng spa,,1966,,,,,,,,,,,,,,,,169,,#1,,,,,,Mexico mapa touristico de carreteras,,,Mexico. Secretaría de Obras Públicas,,,,,,spa,,,,,,,,,,,,,,,,,
2,,,3923739,"Mexico mapa turistico de carreteras = Mexico tourist road map, 1936",Mexico mapa turistico de carreteras = Mexico tourist road map,eng spa,,1936,,,,,,,,,,,,,,,,229,,#1,,,,,,Mexico mapa turistico de carreteras = Mexico tourist road map,,,Guia Roji S.A.,,,,,,spa,,,,,,,,,,,,,,,,,
2,,,3923743,"Mexiko = México = Mexico = Mexique, [between 1980 and 1989]",Mexiko = México = Mexico = Mexique,eng fre ger spa,[between 1980 and 1989],,,,,,,,,,,,,,,,,229,,#1,,,,,,Mexico = Mexique = Mexiko = México,,,Hallwag AG,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912764,"Milano : pianta = Milano : plan = Milano : town map = Milano : Stadtplan, 1968",Milano : pianta = Milano : plan = Milano : town map = Milano : Stadtplan,Ita fre eng ger,,1968,,,,,,,,,,,,,,,,236,,#1,,,,,,Milano : pianta = Milano : plan = Milano : map,,,Hallwag,,,,,,ita,,,,,,,,,,,,,,,,,
2,,,3913228,"Montréal, 1970",Montréal,eng fre,,1970,,,,,,,,,,,,,,,,164,,#1,,,,,,Montréal,,,Montréal City Planning Department,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913211,"Montreal and vicinity, 1961",Montréal,eng fre,[between 1980 and 1989?],,,,,,,,,,,,,,,,,164,,#1,,,,,,Montréal access to the city,,,Quebec (Province). Tourist Bureau,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913205,"Montreal métropole de Canada, 1959",Montreal and vicinity,eng fre,,1961,,,,,,,,,,,,,,,,163,,#1,,,,,,Street guide and map of Montreal and vicinity,,,Rolph-Clark-Stone Limited.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913215,"Montréal and vicinity, 1961",Montréal and vicinity,eng fre,,1961,,,,,,,,,,,,,,,,163,,#1,,,,,,Montréal,,,Rolph-Clark-Stone Limited.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913217,"Montréal et environs = Montréal and vicinity, 1963",Montréal et environs = Montréal and vicinity,eng fre,,1963,,,,,,,,,,,,,,,,163,,#1,,,,,,Guide des rues et carte de Montréal et des environs = Street guide and metropolitan map of Montreal,,,Rolph-Clark-Stone Limited.,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913221,"Montréal et environs = Montréal and vicinity, 1968",Montréal et environs = Montréal and vicinity,eng fre,,1968,,,,,,,,,,,,,,,,163,,#1,,,,,,Montreal,,,Rolph-Clark-Stone Limited.,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913224,"Montréal et environs = Montréal and vicinity, 1965",Montréal et environs = Montréal and vicinity,eng fre,,1965,,,,,,,,,,,,,,,,164,,#1,,,,,,Montreal,,,Rolph-Clark-Stone Limited,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913227,"Montréal et environs = Montréal and vicinity, [1967?]",Montréal et environs = Montréal and vicinity,eng fre,[1967?],,,,,,,,,,,,,,,,,226,,#1,,,,,,Map of Montreal = Carte de Montréal,,,"John Lovell & Son, Limited",,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913230,"Montréal et environs = Montréal and vicinity, 1971",Montréal et environs = Montréal and vicinity,eng fre,,1971,,,,,,,,,,,,,,,,164,,#1,,,,,,Montréal,,,Rolph-Clark-Stone Limited,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913228,"Montréal, 1970",Montreal métropole de Canada,eng fre,,1959,,,,,,,,,,,,,,,,226,,#1,,,,,,Montréal paradis du tourisme = Montréal tourist guide,,,Société Nouvelle de Publicité Incorporée,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913234,"Montréal mid-town, [1979?]",Montréal mid-town,eng fre,[1979?],,,,,,,,,,,,,,,,,164,,#1,,,,,,Montréal access to the city,,,Quebec (Province). Tourist Bureau,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3912382,"Motoring map = Karte für Kraftfahrer = Carte routiére (Danmark, Finland, Norge, Sverige), 1937","Motoring map = Karte für Kraftfahrer = Carte routiére (Danmark, Finland, Norge, Sverige)",Eng fre ger,,1937,,,,,,,,,,,,,,,,233,,#1,,,,,,Motoring map = Carte routiére = Karte für Kraftfahrer,,,Nordisk Turisttrafikkomite ; Scott-R.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913424,"National Capital Ottawa & environs = Ottawa & environs la capitale nationale, 1959",National Capital Ottawa & environs = Ottawa & environs la capitale nationale,eng fre,,1959,,,,,,,,,,,,,,,,227,,#1,,,,,,Map of Ottawa and the National Capital Region = Plan d'Ottawa et la reégion de la capitale nationale,,,National Capital Commission,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913425,"National Capital Ottawa & environs = Ottawa & environs la capitale nationale, 1957",National Capital Ottawa & environs = Ottawa & environs la capitale nationale,eng fre,,1957,,,,,,,,,,,,,,,,227,,#1,,,,,,Map of Ottawa and Environs and Gatineau Park = Plan d'Ottawa et des environs et du parc de la Gatineau,,,Federal District  Commission,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913090,"New Brunswick = Nouveau-Brunswick, 1982",New Brunswick = Nouveau-Brunswick,eng fre,,1982,,,,,,,,,,,,,,,,225,,#1,,,,,,New Brunswick Canada ,,,New Brunswick. Department of Tourism,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912403,"Norge, 1969",Norge,Nob ger eng fre,,1969,,,,,,,,,,,,,,,,158,,#1,,,,,,,,,[publisher not identified],,,,,,nob,,,,,,,,,,,,,,,,,
2,,,3913332,"Northern Ontario ; Southern Ontario, 1967",Northern Ontario ; Southern Ontario,eng fre,,1967,,,,,,,,,,,,,,,,164,,#1,,,,,,Ontario,,,"Rolph-Clark-Stone, Limited",,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913266,"Nouveau plan de la cité de Québec région metropolitaine et les environs avec lévis et lauzon, [between 1950 and 1959?]",Nouveau plan de la cité de Québec région metropolitaine et les environs avec lévis et lauzon,eng fre,[between 1950 and 1959?],,,,,,,,,,,,,,,,,226,,#1,,,,,,New map of Quebec City metropolitan area,,,A.G. Hatelie,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912720,"Nuevo plano y callejero de cobranzas Madrid, 1929",Nuevo plano y callejero de cobranzas Madrid,Spa fre eng ger,,1929,,,,,,,,,,,,,,,,236,,#1,,,,,,Madrid,,,Rivadeneyra S.A.,,,,,,spa,,,,,,,,,,,,,,,,,
2,,,3912805,"Nuovissima pianta di Roma = Nouveau plan de Rome = New plan of Rome, [between 1970 and 1979?]",Nuovissima pianta di Roma = Nouveau plan de Rome = New plan of Rome,ita eng fre ger spa,[between 1970 and 1979?],,,,,,,,,,,,,,,,,237,,#1,,,,,,Nuova pianta di Roma = Nouveau plan de Rome = New plan of Rome = Neuer Stadtplan von Rom = Neuva mapa de Roma,,,Enrico Verdesi,,,,,,ita,,,,,,,,,,,,,,,,,
