ColumnName,NonUniqueValue,Count,Associated_MFHD_IDs
BIB_ID,10451407,2,"10666385, 10666394"
BIB_ID,10451448,2,"10666415, 10666420"
BIB_ID,10451471,2,"10755222, 10666436"
BIB_ID,11780701,2,"11898272, 11898267"
BIB_ID,11780717,2,"11898283, 11898284"
BIB_ID,11780725,2,"11898291, 11898292"
BIB_ID,12542908,2,"12669407, 12669406"
BIB_ID,12779736,2,"12882082, 12882118"
BIB_ID,12779769,2,"12882123, 12882120"
BIB_ID,12779789,2,"12882147, 12882146"
BIB_ID,12779804,2,"12882162, 12882165"
BIB_ID,12784023,2,"12886397, 12886398"
BIB_ID,12784031,2,"12886408, 12886409"
BIB_ID,12784035,2,"12886413, 12886412"
BIB_ID,12784063,2,"12886444, 12886443"
BIB_ID,12784084,2,"12886461, 12886460"
BIB_ID,14572869,2,"14579302, 14569643"
BIB_ID,14572922,2,"14579313, 14569696"
BIB_ID,14572960,2,"14579315, 14569734"
BIB_ID,14747913,2,"14749672, 14738026"
BIB_ID,14747982,2,"14738095, 14749691"
BIB_ID,14747997,2,"14738110, 14749694"
BIB_ID,14748024,2,"14738137, 14749697"
BIB_ID,14748027,2,"14738140, 14749699"
BIB_ID,14748119,2,"14749739, 14738232"
BIB_ID,14959451,2,"14943394, 14943393"
BIB_ID,14959463,2,"14943416, 14943417"
BIB_ID,14959468,2,"14943424, 14943425"
BIB_ID,14959469,2,"14943427, 14943426"
BIB_ID,14959470,2,"14943428, 14943429"
BIB_ID,14959471,2,"14943431, 14943430"
BIB_ID,14959472,2,"14943433, 14943432"
BIB_ID,14959475,2,"14943437, 14943436"
BIB_ID,14959476,2,"14943439, 14943438"
BIB_ID,14959477,2,"14943441, 14943440"
BIB_ID,14959478,2,"14943443, 14943442"
BIB_ID,14959480,2,"14943446, 14943445"
BIB_ID,14959481,2,"14943447, 14943448"
BIB_ID,14959482,2,"14943450, 14943449"
BIB_ID,14959483,2,"14943452, 14943451"
BIB_ID,14959485,2,"14943454, 14943455"
BIB_ID,14959486,2,"14943457, 14943456"
BIB_ID,14959487,2,"14943459, 14943458"
BIB_ID,14959489,2,"14943462, 14943461"
BIB_ID,14959491,2,"14943464, 14943465"
BIB_ID,14959492,2,"14943466, 14943467"
BIB_ID,14959493,2,"14943469, 14943468"
BIB_ID,14959494,2,"14943471, 14943470"
BIB_ID,14959495,2,"14943472, 14943473"
BIB_ID,14959498,2,"14943477, 14943476"
BIB_ID,14959499,2,"14943478, 14943479"
BIB_ID,14959500,2,"14943480, 14943481"
BIB_ID,14959501,2,"14943483, 14943482"
BIB_ID,14959502,2,"14943484, 14943485"
BIB_ID,14959504,2,"14943488, 14943489"
BIB_ID,14959505,2,"14943491, 14943490"
BIB_ID,14959506,2,"14943493, 14943492"
BIB_ID,14959507,2,"14943495, 14943494"
BIB_ID,14959508,2,"14943497, 14943496"
BIB_ID,14959509,2,"14943499, 14943498"
BIB_ID,14959510,2,"14943500, 14943501"
BIB_ID,14959511,2,"14943502, 14943503"
BIB_ID,14959513,2,"14943505, 14943506"
BIB_ID,14959514,2,"14943507, 14943508"
BIB_ID,14959515,2,"14943509, 14943510"
BIB_ID,14959516,2,"14943511, 14943512"
BIB_ID,14959517,2,"14943514, 14943513"
BIB_ID,14959518,2,"14943516, 14943515"
BIB_ID,14959519,2,"14943517, 14943518"
BIB_ID,14959520,2,"14943520, 14943519"
BIB_ID,14959521,2,"14943521, 14943522"
BIB_ID,14959523,2,"14943524, 14943525"
BIB_ID,14959524,2,"14943526, 14943527"
BIB_ID,14959531,2,"14943538, 14943539"
BIB_ID,14959542,2,"14943561, 14943560"
BIB_ID,14959553,2,"14943583, 14943582"
BIB_ID,14962607,2,"14947231, 14947230"
BIB_ID,14965077,2,"14951738, 14951737"
BIB_ID,14965078,2,"14951740, 14951739"
BIB_ID,14965080,2,"14951743, 14951742"
BIB_ID,14965081,2,"14951744, 14951745"
BIB_ID,14965082,2,"14951746, 14951747"
BIB_ID,14965083,2,"14951748, 14951749"
BIB_ID,14965084,2,"14951750, 14951751"
BIB_ID,14965085,2,"14951752, 14951753"
BIB_ID,14965086,2,"14951755, 14951754"
BIB_ID,14965088,2,"14951757, 14951758"
BIB_ID,14965089,2,"14951760, 14951759"
BIB_ID,14965090,2,"14951762, 14951761"
BIB_ID,14965091,2,"14951763, 14951764"
BIB_ID,14965093,2,"14951767, 14951766"
BIB_ID,14965094,2,"14951769, 14951768"
BIB_ID,14965095,2,"14951770, 14951771"
BIB_ID,14965096,2,"14951772, 14951773"
BIB_ID,14965097,2,"14951774, 14951775"
BIB_ID,14965098,2,"14951777, 14951776"
BIB_ID,14965099,2,"14951779, 14951778"
BIB_ID,14965101,2,"14951781, 14951782"
BIB_ID,14965102,2,"14951783, 14951784"
BIB_ID,14965104,2,"14951787, 14951786"
BIB_ID,14965105,2,"14951789, 14951788"
BIB_ID,14965108,2,"14951793, 14951792"
BIB_ID,14965109,2,"14951794, 14951795"
BIB_ID,14965110,2,"14951797, 14951796"
BIB_ID,14965111,2,"14951799, 14951798"
BIB_ID,14965112,2,"14951801, 14951800"
BIB_ID,14965115,2,"14951804, 14951805"
BIB_ID,14965116,2,"14951807, 14951806"
BIB_ID,14965119,2,"14951810, 14951811"
BIB_ID,14965120,2,"14951813, 14951812"
BIB_ID,14965121,2,"14951814, 14951815"
BIB_ID,14965122,2,"14951816, 14951817"
BIB_ID,14965123,2,"14951819, 14951818"
BIB_ID,14965124,2,"14951821, 14951820"
BIB_ID,14965125,2,"14951822, 14951823"
BIB_ID,14965126,2,"14951825, 14951824"
BIB_ID,14965127,2,"14951827, 14951826"
BIB_ID,14965128,2,"14951829, 14951828"
BIB_ID,14965130,2,"14951832, 14951833"
BIB_ID,14965131,2,"14951835, 14951834"
BIB_ID,14965132,2,"14951836, 14951837"
BIB_ID,14965133,2,"14951839, 14951838"
BIB_ID,14965135,2,"14951842, 14951841"
BIB_ID,14965136,2,"14951843, 14951844"
BIB_ID,14965137,2,"14951846, 14951845"
BIB_ID,14965138,2,"14951848, 14951847"
BIB_ID,14965139,2,"14951850, 14951849"
BIB_ID,14965141,2,"14951853, 14951852"
BIB_ID,14965142,2,"14951855, 14951854"
BIB_ID,14965143,2,"14951857, 14951856"
BIB_ID,14965145,2,"14951859, 14951860"
BIB_ID,14965146,2,"14951861, 14951862"
BIB_ID,14965148,2,"14951864, 14951865"
BIB_ID,14965149,2,"14951866, 14951867"
BIB_ID,14965152,2,"14951871, 14951870"
BIB_ID,14965153,2,"14951873, 14951872"
BIB_ID,14965154,2,"14951875, 14951874"
BIB_ID,14965155,2,"14951877, 14951876"
BIB_ID,14965156,2,"14951879, 14951878"
BIB_ID,14965157,2,"14951880, 14951881"
BIB_ID,14965158,2,"14951883, 14951882"
BIB_ID,14966522,2,"14954382, 14954381"
BIB_ID,14966523,2,"14954384, 14954383"
BIB_ID,14966524,2,"14954385, 14954386"
BIB_ID,14966525,2,"14954387, 14954388"
BIB_ID,14966526,2,"14954389, 14954390"
BIB_ID,14966528,2,"14954392, 14954393"
BIB_ID,14966529,2,"14954395, 14954394"
BIB_ID,14966530,2,"14954397, 14954396"
BIB_ID,14966531,2,"14954398, 14954399"
BIB_ID,14966532,2,"14954400, 14954401"
BIB_ID,14966533,2,"14954403, 14954402"
BIB_ID,14966536,2,"14954407, 14954408"
BIB_ID,14966537,2,"14954409, 14954410"
BIB_ID,14966538,2,"14954412, 14954411"
BIB_ID,14966539,2,"14954413, 14954414"
BIB_ID,14966540,2,"14954415, 14954416"
BIB_ID,14966542,2,"14954419, 14954418"
BIB_ID,14966543,2,"14954421, 14954420"
BIB_ID,14966544,2,"14954422, 14954423"
BIB_ID,14966545,2,"14954424, 14954425"
BIB_ID,14966547,2,"14954428, 14954427"
BIB_ID,14966548,2,"14954429, 14954430"
BIB_ID,14966552,2,"14954435, 14954434"
BIB_ID,3836238,2,"8896145, 8896146"
BIB_ID,3839466,2,"12871810, 12871805"
BIB_ID,4370533,4,"4752714, 7009879, 4752713, 4752712"
BIB_ID,4381615,2,"4764194, 4764195"
BIB_ID,4381634,2,"4764214, 4764215"
BIB_ID,4381646,2,"4764228, 4764227"
BIB_ID,4381657,2,"4764239, 4764240"
BIB_ID,4381666,2,"4764249, 4764250"
BIB_ID,4381677,2,"4764261, 4764262"
BIB_ID,4381828,2,"4764413, 4764414"
BIB_ID,4381845,2,"4764432, 4764431"
BIB_ID,4595815,2,"4986406, 4986405"
BIB_ID,4623886,2,"5015362, 5015363"
BIB_ID,4633129,2,"5024857, 5024856"
BIB_ID,4660962,2,"5053522, 5053523"
BIB_ID,6033683,2,"6730963, 7109128"
BIB_ID,6465814,2,"14936018, 7109117"
BIB_ID,6612714,2,"7229394, 7345275"
BIB_ID,6976412,2,"7563259, 7546005"
BIB_ID,7943067,2,"8380818, 8896121"
BIB_ID,8622911,2,"9043676, 10080282"
BIB_ID,8861181,2,"9264661, 9264844"
BIB_ID,9332668,2,"9685287, 9685250"
BIB_ID,9603900,2,"9940755, 9940756"
BIB_ID,9724687,2,"10042108, 10042102"
BIB_ID,9726062,2,"10043243, 10043239"
BIB_ID,9726094,2,"10043259, 10043260"
BIB_ID,9726104,2,"10043268, 10043266"
BIB_ID,9726141,2,"10043304, 10043301"
BIB_ID,9726176,2,"10043334, 10043335"
BIB_ID,9726186,2,"10043345, 10043346"
BIB_ID,9726201,2,"10043360, 10043361"
BIB_ID,9726204,2,"10043364, 10043365"
BIB_ID,9726494,2,"10043635, 10043637"
BIB_ID,9726562,2,"10043701, 10043698"
BIB_ID,9769912,2,"10080167, 10080165"
BIB_ID,9770058,2,"10080294, 10080295"
TITLE,'Novela De La Tierra' : the Discourse of the Autochthonous / by Carlos Javier Alonso Velez.,2,"14579313, 14569696"
TITLE,Aberrant Forms In The 'Mahabharata' / by Andrew H. Yarrow.,2,"14954395, 14954394"
TITLE,Achilles And The 'Illiad' / by Alfred Eliot Youman.,2,"14954435, 14954434"
TITLE,Action Of Trypsin On Subtilisin-modified Ribonuclease / by Jorge Eduardo Allende.,2,"14943484, 14943485"
TITLE,Alexander Scriabin : the transition from tonality to atonality / by James Marshall Baker.,2,"9043676, 10080282"
TITLE,Algebraic Properties of Topological Significance / by John Harold Ahlberg.,2,"14579302, 14569643"
TITLE,American Foundations Of Public Education In Hawaii / by Benjamin O. Wist.,2,"14951763, 14951764"
TITLE,"American Support Of Free Elections Abroad, 1898-1933 / by Theodore Paul Wright, Jr.",2,"14951864, 14951865"
TITLE,Application Of The Electrolytic Method For The Separation Of Alpha-amino Acids In Proteins / by John Arthur Anderson.,2,"14943526, 14943527"
TITLE,Asymptotic Expansions For The Distribution Of The Latent Roots Of The Covariance Matrix And For A Hypergeometric Function Of Matrix Argument / by George Albert Anderson.,2,"14943524, 14943525"
TITLE,Autobiographical prose works of Alphonse de Lamartine / by Ida P. Mendillo.,2,"11898272, 11898267"
TITLE,"B-vitamin Patterns During Growth Of Cucurbit And Tomato Fruits And Leaves / by Carl L. Withner, Jr.",2,"14951769, 14951768"
TITLE,Basis Graphs Of Finite Modular Lattices And Their Associated Undirected Graphs / by Laurence Richards Alvarez.,2,"14943493, 14943492"
TITLE,Battle Of Alcazar' / by John M. Yoklavich.,2,"14954424, 14954425"
TITLE,Beitrag zur entstehungsgeschichte von Goethes Faust II / by Eric Seemann.,2,"10043701, 10043698"
TITLE,Biblical Allusion In The Prose of Herman Melville / by Nathalia Wright.,2,"14951861, 14951862"
TITLE,"Bibliography of Goethe text-books in America : prefaced by an account of the early teaching of German in American colleges, with special emphasis on Goethe / by Lester Rapoport.",2,"10043364, 10043365"
TITLE,Carl Philipp Emanuel Bach and liturgical music at the Hamburg principal churches from 1768 to 1788 / by Reginald LeMonte Sanders.,2,"6730963, 7109128"
TITLE,"Catalytic Hydrogenation Of Monobenzyluracils(4,5) / by Joseph C. Ambelang.",2,"14943497, 14943496"
TITLE,Catalytic dehydration of ethyl alcohol on alumina / by Herman J. Solomon.,2,"8896145, 8896146"
TITLE,Central Conference Of The Methodist Episcopal Church / by Harry W. Worley.,2,"14951835, 14951834"
TITLE,Character presentation in Tacitus : (annals I-VI) / by Charles J. Adamec.,2,"12882147, 12882146"
TITLE,"Chaucer's 'House of Fame' / by William Smith Wilson, III.",2,"14749672, 14738026"
TITLE,"Chemistry Of 5,5-dibromoxyhydrouracil / by Mary Gorham Winton.",2,"14951757, 14951758"
TITLE,Chemistry Of The Diazoketones / by Peter Yates.,2,"14954403, 14954402"
TITLE,Childlike Mind : Nature And Art In The Poetry Of Wordsworth And Rimbaud / by Edward James Ahearn.,2,"14943427, 14943426"
TITLE,Coincidence Measurement Of Neutron Energy / by Donald C. Worth.,2,"14951839, 14951838"
TITLE,Composition Of Fluid Inclusions / by James Michael Allen.,2,"14943472, 14943473"
TITLE,Compressibility and internal friction of certain binary liquid alloys.,2,"12871810, 12871805"
TITLE,"Contemporary Yoruba art in Ile-Ifeￌﾣ : history, continuum, motive, and transformation / by Michael DeHart Harris.",2,"14936018, 7109117"
TITLE,Contribution To A System Of Skaldic Word Order / by Cecil Wood.,2,"14951794, 14951795"
TITLE,Control Of Lutheran Theological Education / by Oscar Ahlenius Winfield.,2,"14951746, 14951747"
TITLE,"Correspondence of John Ruskin with his parents, 1823-1851 / edited by Kenneth Gibson Weihe.",2,"4986406, 4986405"
TITLE,Critical Analysis Of The Culture-area Concept : An Investigation Based Upon A Study Of The Immaterial Culture Of The Indians Of The United States / by Carter Albert Woods.,2,"14951810, 14951811"
TITLE,Cytochemical Studies On Vaccinia Infected Cells / by Tatsuzo Yamamoto.,2,"14954385, 14954386"
TITLE,Decade of dissent in Germany : an historical study of the Society of Protestant Friends and the German-Catholic Church / by Catherine M. Holden.,2,"10080294, 10080295"
TITLE,"Derivation Of Arctangent Relations / by John W. Wrench, Jr.",2,"14951843, 14951844"
TITLE,Desirable Guidance For Secondary Schools / by John Wendell Yeo.,2,"14954413, 14954414"
TITLE,"Determinants Of The Volume Of Foreign Trade Of The United States, 1920-1938 / by John H. Adler.",2,"14943499, 14943498"
TITLE,"Development Of The Public School System In New Haven, 1639-1930. A Problem In Historical Research / by Louise Gertrude Wrinn.",2,"14951875, 14951874"
TITLE,"Development consumers : an ethnography of ""the poorest of the poor"" and international aid in rural Tanzania / by Martin Benjamin.",2,"5024857, 5024856"
TITLE,Dialectic Of Freedom / by John Melvin Woody.,2,"14951822, 14951823"
TITLE,"Dimensions Of Voting In The United Nations / by Haywood Rose Alker, Jr.",2,"14943466, 14943467"
TITLE,Dissociation Constant Of Chloroacetic Acid From Zero To Forty Degrees / by Donald Decker Wright.,2,"14951853, 14951852"
TITLE,Divorce in primitive societies : a study preliminary to a general survey of the evolution of divorce / by Harold E. Adams.,2,"12886413, 12886412"
TITLE,"Double, Triple, And Quadruple Alternation In The White Rat / by Charles B. Woodbury.",2,"14951807, 14951806"
TITLE,"E Conduct Of The Rt. Hon. Daniel Earl Of Nottingham, By Himself.' / by William A. Aiken.",2,"14943433, 14943432"
TITLE,"Education As An Implement Of U.S. Foreign Policy, 1938-1948 / by Lewis Allbee.",2,"14943469, 14943468"
TITLE,Education and community in Uganda / by Balamu Jaberi Mukasa.,2,"10755222, 10666436"
TITLE,"Educational Aptitudes / by Ralph R. Wolf, Jr.",2,"14951781, 14951782"
TITLE,Edwin M. Borchard And The Defense Of Traditional American Neutrality 1931-1941 / by Richard Herman Kendall.,2,"14947231, 14947230"
TITLE,Effect Of Bonded Indebtedness On School Expenditures / by Floyd G. Wood.,2,"14951799, 14951798"
TITLE,Effect Of Cognitive Organization On Response To Low Intensity Visual Stimuli / by Joel Allison.,2,"14943491, 14943490"
TITLE,Effect Of High Pressure On Order-disorder Transformations In Alloys / by Thomas C. Wilson.,2,"14951740, 14951739"
TITLE,Effect Of Light Intensity And The Length Of Photoperion On The Content Of Solanidine In The Sprouts Of Solanum Tuberosum / by Mary-isabel Witmer.,2,"14951774, 14951775"
TITLE,Effects Of Dietary Deficiencies On The Growth Of Certain Body Systems And Organs / by Jet Corine Winters.,2,"14951755, 14951754"
TITLE,Effects Of Rest Pauses On Work Decrement / by Samuel Yochelson.,2,"14954422, 14954423"
TITLE,Effects Of Thinning In Plantations On Some Of The Physical Factors Of Thesite And On The Development Of Young Northern White Pine (pinus Strobus L) And Scotch Pine (pinus Silvestrus L) / by William Ritchie Adams.,2,"14943439, 14943438"
TITLE,Electrical Potential Of Isolated Frog Skin Influenced By Inhibiting And Stimulating Agents / by Wilhelm S. Albrink.,2,"14943450, 14943449"
TITLE,Electrical Properties Of Solid Polyelectrolytes / by Michael Yamin.,2,"14954387, 14954388"
TITLE,Embryogeny of Phaseolus : the Role of the Suspensor During Early Development / by Chee Tak Yeung.,2,"14749739, 14738232"
TITLE,English and American Faust translators : their motives and their literary and linguistic backgrounds / by Adolf Ingram Frantz.,2,"10043259, 10043260"
TITLE,"Escritura, cuerpo y deseo en la primera parte de la obra poetica de Luis Cernuda / by Juan Manuel Ulacia Altolaguirre.",2,"10080167, 10080165"
TITLE,Esthetics And Drama / by Sidney P. Albert.,2,"14943447, 14943448"
TITLE,Evaluation Of The Role Of Vitamin B12 In The Marine Environment / by Elizabeth Adair Wood.,2,"14951797, 14951796"
TITLE,"Excited States Of The Fluorine-20, Silicon-30, And Phosphorus-32 Nuclei / by Robert C. Allen.",2,"14943480, 14943481"
TITLE,Experimental Study Of Reading Disability In Nine-year-old School Children / by Lillian Schuck Wolfe.,2,"14951783, 14951784"
TITLE,Experimental study of adaptive behavior in cats / by Donald Keith Adams.,2,"12886397, 12886398"
TITLE,Experimental study of the mouth region in the amphibian embryo / by Amy Elizabeth Adams.,2,"12882162, 12882165"
TITLE,Experiments On The Determination Of The Ear In The Amphibian Embryo / by Chester Loomis Yntema.,2,"14954419, 14954418"
TITLE,Finitary System Of Logic / by Alan R. Anderson.,2,"14943516, 14943515"
TITLE,First-order Perturbations Of The Minor Planet (3) Juno By Jupiter / by Robert I. Wolff.,2,"14951787, 14951786"
TITLE,"Fitz-greene Halleck, An Early Knickerbocker Wit And Poet / by Nelson Frederick Adkins.",2,"14943477, 14943476"
TITLE,Fluid Migration in an Overthrust Sequence of the Canadian Cordillera / by Grant R. Woodwell.,2,"14738137, 14749697"
TITLE,Form of Platonic inquiry / Paul Desjardins.,2,"7563259, 7546005"
TITLE,"Free expansion of gases / by Norman Ilsley Adams, Jr.",2,"12886444, 12886443"
TITLE,Gamma-radiation From Nuclear Reactions / by David E. Alburger.,2,"14943452, 14943451"
TITLE,"Gastronomic Alchemy : How Black Philadelphia Caterers Transformed Taste into Capital, 1790 - 1925 / by Danya M. Pilgrim.",2,"14869096, 16035619"
TITLE,"Geology Of The Northeast Portion Of The Flinflon Map Area, Manitoba / by John W. Ambrose.",2,"14943502, 14943503"
TITLE,"Geology Of The Ranji Lake And Ghost Lake Areas, Northwest Territories, Canada / by Grant M. Wright.",2,"14951857, 14951856"
TITLE,Goethe and his stowaways / by George Crawford Buck.,2,"10043243, 10043239"
TITLE,Goethe and the publication of his works / by Ian C. Loram.,2,"10043268, 10043266"
TITLE,Goethes Gestalten / von Albert Scholz.,2,"10043334, 10043335"
TITLE,Growth Of The Extra-curriculum In The New England Secondary Schools To 1918 / by Forrest Jack Agee.,2,"14943416, 14943417"
TITLE,"Hartford Public High School, 1639-1865 / by Charles Duncan Yetman.",2,"14954415, 14954416"
TITLE,Hero and His Opponent in the Heroic Tragedy from Gottsched to Lessing / by Charlotte Von W. Anderson.,2,"14579315, 14569734"
TITLE,High Field Conductance Of Polyelectrolytes / by Kurt Falke Wissbrun.,2,"14951762, 14951761"
TITLE,"History of the Great Mountain Forest, Litchfield County, Connecticut / Herbert I. Winer.",2,"12669407, 12669406"
TITLE,Hypnotics Of The Hydantoin Type / by Harry E. Albert.,2,"14943446, 14943445"
TITLE,I. Some Aspects Of Lysine Deficiency In Albino Rats. II. The Composition Of The Gains In Weight Of Adrenalectomized Rats / by Jane Kimball Winternitz.,2,"14951752, 14951753"
TITLE,Ideological Origins Of Italian Facism / by Clarence H. Yarrow.,2,"14954397, 14954396"
TITLE,Image Of The Ideal Communist Militant As Depicted In Communist Party Publications / by William H. Wriggins.,2,"14951850, 14951849"
TITLE,"Indebtedness Of 'Tristram Shandy' To Certain English Authors, 1670-1740 / by James A. Work.",2,"14951832, 14951833"
TITLE,Inflections Of 8th-century Japanese / by Masako Yokoyama.,2,"14954428, 14954427"
TITLE,Influence Of Robert Garnier On Elizabethan Drama / by Alexander Maclaren Witherspoon.,2,"14951767, 14951766"
TITLE,"Influence Of The ""speculum Majus"" Of Vincent Of Beauvais On The Works Of Chaucer / by Pauline Aiken.",2,"14943431, 14943430"
TITLE,Inner Dremsstrahlung Associated With K-capture In Argon-37 / by Carl E. Anderson.,2,"14943521, 14943522"
TITLE,Inquiry Into The Status And Significance Of Universality In Law / by Susan Minot Woody.,2,"14951825, 14951824"
TITLE,Intelligibility Of Time / by Hubert G. Alexander.,2,"14943462, 14943461"
TITLE,"Interface of customary and national land law in East Kalimantan, Indonesia / by Donna Mayo Vargas.",2,"9264661, 9264844"
TITLE,International Agreements Concluded By The President Without Submission To The Senate / by Shepherd L. Witman.,2,"14951770, 14951771"
TITLE,Iodine Catalyzed Reaction Between Ceric-sulfate And Arsenious Acid / by John S. Yates.,2,"14954400, 14954401"
TITLE,Irish Emigration To North America 1815-1845 / by William Forbes Adams.,2,"14943394, 14943393"
TITLE,Iroquoian morphology / by Floyd Glenn Lounsbury.,4,"4752714, 7009879, 4752713, 4752712"
TITLE,"Legal Relation Of States At Peace : An Analysis Of The Beginning, Continuance, And Extinction Of Legal Relations / by Emery Johnson Woodall.",2,"14951804, 14951805"
TITLE,"Literary Mode Of Goldsmith's Essays And Of The 'vicar Of Wakefield' / by Samuel Hubert Woods, Jr.",2,"14951814, 14951815"
TITLE,"Magneto-resistance Of Aluminum, Copper, Magnesium, And Antimony At Liquid Helium Temperatures / by George B. Yntema.",2,"14954421, 14954420"
TITLE,"Making of a Monopoly : Kimberley and the South African Diamond Industry, 1870-95 / by William Hewlett Worger.",2,"14738140, 14749699"
TITLE,Methodist Board of Temperance as an instrument of church policy / by Joseph Land Allen.,2,"7229394, 7345275"
TITLE,"Mir'aￌﾄt al-Zamaￌﾄn of Sibtￌﾣ ibn al-Jauzi / Edward S. Chase, Jr., editor.",2,"8380818, 8896121"
TITLE,Moral Philosophy Of Henry Bergson / by Sadik Jalal Al-azm.,2,"14943441, 14943440"
TITLE,Motor Function In The Mentally Diseased / by Wallace Howard Wulfeck.,2,"14951877, 14951876"
TITLE,Multiple Exchange Rates / by Mado R. Ambach.,2,"14943495, 14943494"
TITLE,"Nerval, a masque of dreams, Aureￌﾁlia / by Edward Morris.",2,"9685287, 9685250"
